ping_number,latitude,longitude,heading,altitude,slant_range
0,37.7749,-122.4194,90.0,12.0,75.0
1,37.7749,-122.4194,90.0,12.0,75.0
2,37.7749,-122.4194,90.0,12.0,75.0
3,37.7749,-122.4194,90.0,12.0,75.0
4,37.7749,-122.4194,90.0,12.0,75.0
5,37.7749,-122.4194,90.0,12.0,75.0
6,37.7749,-122.4194,90.0,12.0,75.0
7,37.7749,-122.4194,90.0,12.0,75.0
8,37.7749,-122.4194,90.0,12.0,75.0
9,37.7749,-122.4194,90.0,12.0,75.0
10,37.7749,-122.4194,90.0,12.0,75.0
11,37.7749,-122.4194,90.0,12.0,75.0
12,37.7749,-122.4194,90.0,12.0,75.0
13,37.7749,-122.4194,90.0,12.0,75.0
14,37.7749,-122.4194,90.0,12.0,75.0
15,37.7749,-122.4194,90.0,12.0,75.0
16,37.7749,-122.4194,90.0,12.0,75.0
17,37.7749,-122.4194,90.0,12.0,75.0
18,37.7749,-122.4194,90.0,12.0,75.0
19,37.7749,-122.4194,90.0,12.0,75.0
20,37.7749,-122.4194,90.0,12.0,75.0
21,37.7749,-122.4194,90.0,12.0,75.0
22,37.7749,-122.4194,90.0,12.0,75.0
23,37.7749,-122.4194,90.0,12.0,75.0
24,37.7749,-122.4194,90.0,12.0,75.0
25,37.7749,-122.4194,90.0,12.0,75.0
26,37.7749,-122.4194,90.0,12.0,75.0
27,37.7749,-122.4194,90.0,12.0,75.0
28,37.7749,-122.4194,90.0,12.0,75.0
29,37.7749,-122.4194,90.0,12.0,75.0
30,37.7749,-122.4194,90.0,12.0,75.0
31,37.7749,-122.4194,90.0,12.0,75.0
32,37.7749,-122.4194,90.0,12.0,75.0
33,37.7749,-122.4194,90.0,12.0,75.0
34,37.7749,-122.4194,90.0,12.0,75.0
35,37.7749,-122.4194,90.0,12.0,75.0
36,37.7749,-122.4194,90.0,12.0,75.0
37,37.7749,-122.4194,90.0,12.0,75.0
38,37.7749,-122.4194,90.0,12.0,75.0
39,37.7749,-122.4194,90.0,12.0,75.0
40,37.7749,-122.4194,90.0,12.0,75.0
41,37.7749,-122.4194,90.0,12.0,75.0
42,37.7749,-122.4194,90.0,12.0,75.0
43,37.7749,-122.4194,90.0,12.0,75.0
44,37.7749,-122.4194,90.0,12.0,75.0
45,37.7749,-122.4194,90.0,12.0,75.0
46,37.7749,-122.4194,90.0,12.0,75.0
47,37.7749,-122.4194,90.0,12.0,75.0
48,37.7749,-122.4194,90.0,12.0,75.0
49,37.7749,-122.4194,90.0,12.0,75.0
50,37.7749,-122.4194,90.0,12.0,75.0
51,37.7749,-122.4194,90.0,12.0,75.0
52,37.7749,-122.4194,90.0,12.0,75.0
53,37.7749,-122.4194,90.0,12.0,75.0
54,37.7749,-122.4194,90.0,12.0,75.0
55,37.7749,-122.4194,90.0,12.0,75.0
56,37.7749,-122.4194,90.0,12.0,75.0
57,37.7749,-122.4194,90.0,12.0,75.0
58,37.7749,-122.4194,90.0,12.0,75.0
59,37.7749,-122.4194,90.0,12.0,75.0
60,37.7749,-122.4194,90.0,12.0,75.0
61,37.7749,-122.4194,90.0,12.0,75.0
62,37.7749,-122.4194,90.0,12.0,75.0
63,37.7749,-122.4194,90.0,12.0,75.0
64,37.7749,-122.4194,90.0,12.0,75.0
65,37.7749,-122.4194,90.0,12.0,75.0
66,37.7749,-122.4194,90.0,12.0,75.0
67,37.7749,-122.4194,90.0,12.0,75.0
68,37.7749,-122.4194,90.0,12.0,75.0
69,37.7749,-122.4194,90.0,12.0,75.0
70,37.7749,-122.4194,90.0,12.0,75.0
71,37.7749,-122.4194,90.0,12.0,75.0
72,37.7749,-122.4194,90.0,12.0,75.0
73,37.7749,-122.4194,90.0,12.0,75.0
74,37.7749,-122.4194,90.0,12.0,75.0
75,37.7749,-122.4194,90.0,12.0,75.0
76,37.7749,-122.4194,90.0,12.0,75.0
77,37.7749,-122.4194,90.0,12.0,75.0
78,37.7749,-122.4194,90.0,12.0,75.0
79,37.7749,-122.4194,90.0,12.0,75.0
80,37.7749,-122.4194,90.0,12.0,75.0
81,37.7749,-122.4194,90.0,12.0,75.0
82,37.7749,-122.4194,90.0,12.0,75.0
83,37.7749,-122.4194,90.0,12.0,75.0
84,37.7749,-122.4194,90.0,12.0,75.0
85,37.7749,-122.4194,90.0,12.0,75.0
86,37.7749,-122.4194,90.0,12.0,75.0
87,37.7749,-122.4194,90.0,12.0,75.0
88,37.7749,-122.4194,90.0,12.0,75.0
89,37.7749,-122.4194,90.0,12.0,75.0
90,37.7749,-122.4194,90.0,12.0,75.0
91,37.7749,-122.4194,90.0,12.0,75.0
92,37.7749,-122.4194,90.0,12.0,75.0
93,37.7749,-122.4194,90.0,12.0,75.0
94,37.7749,-122.4194,90.0,12.0,75.0
95,37.7749,-122.4194,90.0,12.0,75.0
96,37.7749,-122.4194,90.0,12.0,75.0
97,37.7749,-122.4194,90.0,12.0,75.0
98,37.7749,-122.4194,90.0,12.0,75.0
99,37.7749,-122.4194,90.0,12.0,75.0
100,37.7749,-122.4194,90.0,12.0,75.0
101,37.7749,-122.4194,90.0,12.0,75.0
102,37.7749,-122.4194,90.0,12.0,75.0
103,37.7749,-122.4194,90.0,12.0,75.0
104,37.7749,-122.4194,90.0,12.0,75.0
105,37.7749,-122.4194,90.0,12.0,75.0
106,37.7749,-122.4194,90.0,12.0,75.0
107,37.7749,-122.4194,90.0,12.0,75.0
108,37.7749,-122.4194,90.0,12.0,75.0
109,37.7749,-122.4194,90.0,12.0,75.0
110,37.7749,-122.4194,90.0,12.0,75.0
111,37.7749,-122.4194,90.0,12.0,75.0
112,37.7749,-122.4194,90.0,12.0,75.0
113,37.7749,-122.4194,90.0,12.0,75.0
114,37.7749,-122.4194,90.0,12.0,75.0
115,37.7749,-122.4194,90.0,12.0,75.0
116,37.7749,-122.4194,90.0,12.0,75.0
117,37.7749,-122.4194,90.0,12.0,75.0
118,37.7749,-122.4194,90.0,12.0,75.0
119,37.7749,-122.4194,90.0,12.0,75.0
120,37.7749,-122.4194,90.0,12.0,75.0
121,37.7749,-122.4194,90.0,12.0,75.0
122,37.7749,-122.4194,90.0,12.0,75.0
123,37.7749,-122.4194,90.0,12.0,75.0
124,37.7749,-122.4194,90.0,12.0,75.0
125,37.7749,-122.4194,90.0,12.0,75.0
126,37.7749,-122.4194,90.0,12.0,75.0
127,37.7749,-122.4194,90.0,12.0,75.0
128,37.7749,-122.4194,90.0,12.0,75.0
129,37.7749,-122.4194,90.0,12.0,75.0
130,37.7749,-122.4194,90.0,12.0,75.0
131,37.7749,-122.4194,90.0,12.0,75.0
132,37.7749,-122.4194,90.0,12.0,75.0
133,37.7749,-122.4194,90.0,12.0,75.0
134,37.7749,-122.4194,90.0,12.0,75.0
135,37.7749,-122.4194,90.0,12.0,75.0
136,37.7749,-122.4194,90.0,12.0,75.0
137,37.7749,-122.4194,90.0,12.0,75.0
138,37.7749,-122.4194,90.0,12.0,75.0
139,37.7749,-122.4194,90.0,12.0,75.0
140,37.7749,-122.4194,90.0,12.0,75.0
141,37.7749,-122.4194,90.0,12.0,75.0
142,37.7749,-122.4194,90.0,12.0,75.0
143,37.7749,-122.4194,90.0,12.0,75.0
144,37.7749,-122.4194,90.0,12.0,75.0
145,37.7749,-122.4194,90.0,12.0,75.0
146,37.7749,-122.4194,90.0,12.0,75.0
147,37.7749,-122.4194,90.0,12.0,75.0
148,37.7749,-122.4194,90.0,12.0,75.0
149,37.7749,-122.4194,90.0,12.0,75.0
150,37.7749,-122.4194,90.0,12.0,75.0
151,37.7749,-122.4194,90.0,12.0,75.0
152,37.7749,-122.4194,90.0,12.0,75.0
153,37.7749,-122.4194,90.0,12.0,75.0
154,37.7749,-122.4194,90.0,12.0,75.0
155,37.7749,-122.4194,90.0,12.0,75.0
156,37.7749,-122.4194,90.0,12.0,75.0
157,37.7749,-122.4194,90.0,12.0,75.0
158,37.7749,-122.4194,90.0,12.0,75.0
159,37.7749,-122.4194,90.0,12.0,75.0
160,37.7749,-122.4194,90.0,12.0,75.0
161,37.7749,-122.4194,90.0,12.0,75.0
162,37.7749,-122.4194,90.0,12.0,75.0
163,37.7749,-122.4194,90.0,12.0,75.0
164,37.7749,-122.4194,90.0,12.0,75.0
165,37.7749,-122.4194,90.0,12.0,75.0
166,37.7749,-122.4194,90.0,12.0,75.0
167,37.7749,-122.4194,90.0,12.0,75.0
168,37.7749,-122.4194,90.0,12.0,75.0
169,37.7749,-122.4194,90.0,12.0,75.0
170,37.7749,-122.4194,90.0,12.0,75.0
171,37.7749,-122.4194,90.0,12.0,75.0
172,37.7749,-122.4194,90.0,12.0,75.0
173,37.7749,-122.4194,90.0,12.0,75.0
174,37.7749,-122.4194,90.0,12.0,75.0
175,37.7749,-122.4194,90.0,12.0,75.0
176,37.7749,-122.4194,90.0,12.0,75.0
177,37.7749,-122.4194,90.0,12.0,75.0
178,37.7749,-122.4194,90.0,12.0,75.0
179,37.7749,-122.4194,90.0,12.0,75.0
180,37.7749,-122.4194,90.0,12.0,75.0
181,37.7749,-122.4194,90.0,12.0,75.0
182,37.7749,-122.4194,90.0,12.0,75.0
183,37.7749,-122.4194,90.0,12.0,75.0
184,37.7749,-122.4194,90.0,12.0,75.0
185,37.7749,-122.4194,90.0,12.0,75.0
186,37.7749,-122.4194,90.0,12.0,75.0
187,37.7749,-122.4194,90.0,12.0,75.0
188,37.7749,-122.4194,90.0,12.0,75.0
189,37.7749,-122.4194,90.0,12.0,75.0
190,37.7749,-122.4194,90.0,12.0,75.0
191,37.7749,-122.4194,90.0,12.0,75.0
192,37.7749,-122.4194,90.0,12.0,75.0
193,37.7749,-122.4194,90.0,12.0,75.0
194,37.7749,-122.4194,90.0,12.0,75.0
195,37.7749,-122.4194,90.0,12.0,75.0
196,37.7749,-122.4194,90.0,12.0,75.0
197,37.7749,-122.4194,90.0,12.0,75.0
198,37.7749,-122.4194,90.0,12.0,75.0
199,37.7749,-122.4194,90.0,12.0,75.0
200,37.7749,-122.4194,90.0,12.0,75.0
201,37.7749,-122.4194,90.0,12.0,75.0
202,37.7749,-122.4194,90.0,12.0,75.0
203,37.7749,-122.4194,90.0,12.0,75.0
204,37.7749,-122.4194,90.0,12.0,75.0
205,37.7749,-122.4194,90.0,12.0,75.0
206,37.7749,-122.4194,90.0,12.0,75.0
207,37.7749,-122.4194,90.0,12.0,75.0
208,37.7749,-122.4194,90.0,12.0,75.0
209,37.7749,-122.4194,90.0,12.0,75.0
210,37.7749,-122.4194,90.0,12.0,75.0
211,37.7749,-122.4194,90.0,12.0,75.0
212,37.7749,-122.4194,90.0,12.0,75.0
213,37.7749,-122.4194,90.0,12.0,75.0
214,37.7749,-122.4194,90.0,12.0,75.0
215,37.7749,-122.4194,90.0,12.0,75.0
216,37.7749,-122.4194,90.0,12.0,75.0
217,37.7749,-122.4194,90.0,12.0,75.0
218,37.7749,-122.4194,90.0,12.0,75.0
219,37.7749,-122.4194,90.0,12.0,75.0
220,37.7749,-122.4194,90.0,12.0,75.0
221,37.7749,-122.4194,90.0,12.0,75.0
222,37.7749,-122.4194,90.0,12.0,75.0
